COGID	Function	Gene Count
COG3921	Uncharacterized protein conserved in bacteria	0
COG5438	Predicted multitransmembrane protein	0
COG3924	Predicted membrane protein	0
COG4458	Uncharacterized protein conserved in bacteria, putative virulence factor	0
COG5478	Predicted small integral membrane protein	0
COG5474	Uncharacterized conserved protein	0
COG2001	Uncharacterized protein conserved in bacteria	1
COG4453	Uncharacterized protein conserved in bacteria	0
COG5412	Phage-related protein	0
COG5470	Uncharacterized conserved protein	3
COG3108	Uncharacterized protein conserved in bacteria	0
COG2006	Uncharacterized conserved protein	0
COG4456	Virulence-associated protein and related proteins	0
COG3089	Uncharacterized protein conserved in bacteria	0
COG2898	Uncharacterized conserved protein	0
COG5410	Uncharacterized protein conserved in bacteria	0
COG5620	Uncharacterized conserved protein	0
COG2318	Uncharacterized protein conserved in bacteria	0
COG0344	Predicted membrane protein	0
COG5551	Uncharacterized conserved protein	0
COG3085	Uncharacterized protein conserved in bacteria	0
COG3084	Uncharacterized protein conserved in bacteria	0
COG4950	Uncharacterized protein conserved in bacteria	1
COG4951	Uncharacterized protein conserved in bacteria	0
COG4954	Uncharacterized protein conserved in bacteria	0
COG4955	Uncharacterized protein conserved in bacteria	0
COG2908	Uncharacterized protein conserved in bacteria	0
COG1434	Uncharacterized conserved protein	0
COG1340	Uncharacterized archaeal coiled-coil protein	0
COG3949	Uncharacterized membrane protein	0
COG1430	Uncharacterized conserved protein	0
COG1432	Uncharacterized conserved protein	0
COG1433	Uncharacterized conserved protein	0
COG3854	Uncharacterized protein conserved in bacteria	2
COG3323	Uncharacterized protein conserved in bacteria	0
COG3856	Uncharacterized conserved protein (small basic protein)	0
COG3326	Predicted membrane protein	0
COG1978	Uncharacterized protein conserved in bacteria	0
COG3820	Uncharacterized protein conserved in bacteria	0
COG1602	Uncharacterized conserved protein	0
COG4811	Predicted membrane protein	0
COG1971	Predicted membrane protein	0
COG3859	Predicted membrane protein	0
COG3287	Uncharacterized conserved protein	0
COG3286	Uncharacterized protein conserved in archaea	0
COG2135	Uncharacterized conserved protein	0
COG3556	Predicted membrane protein	0
COG3551	Uncharacterized protein conserved in bacteria	0
COG3553	Uncharacterized protein conserved in bacteria	0
COG4025	Predicted membrane protein	0
COG3494	Uncharacterized protein conserved in bacteria	0
COG3495	Uncharacterized protein conserved in bacteria	0
COG3496	Uncharacterized conserved protein	0
COG5604	Uncharacterized conserved protein	0
COG2138	Uncharacterized conserved protein	0
COG3558	Uncharacterized protein conserved in bacteria	0
COG3492	Uncharacterized protein conserved in bacteria	0
COG4270	Predicted membrane protein	0
COG2707	Predicted membrane protein	0
COG5135	Uncharacterized conserved protein	0
COG3795	Uncharacterized protein conserved in bacteria	0
COG4014	Uncharacterized protein conserved in archaea	0
COG1504	Uncharacterized conserved protein	0
COG3792	Uncharacterized protein conserved in bacteria	0
COG3791	Uncharacterized conserved protein	0
COG1507	Uncharacterized conserved protein	0
COG3656	Predicted periplasmic protein	0
COG1993	Uncharacterized conserved protein	0
COG5062	Uncharacterized membrane protein	0
COG4272	Predicted membrane protein	0
COG3652	Predicted outer membrane protein	0
COG3650	Predicted membrane protein	0
COG3651	Uncharacterized protein conserved in bacteria	2
COG5566	Uncharacterized conserved protein	0
COG5486	Predicted metal-binding integral membrane protein	4
COG4022	Uncharacterized protein conserved in archaea	0
COG2859	Uncharacterized protein conserved in bacteria	0
COG5493	Uncharacterized conserved protein containing a coiled-coil domain	0
COG2855	Predicted membrane protein	0
COG2911	Uncharacterized protein conserved in bacteria	0
COG2852	Uncharacterized protein conserved in bacteria	0
COG1238	Predicted membrane protein	4
COG2850	Uncharacterized conserved protein	0
COG1481	Uncharacterized protein conserved in bacteria	0
COG1729	Uncharacterized protein conserved in bacteria	0
COG4068	Uncharacterized protein containing a Zn-ribbon	0
COG2314	Predicted membrane protein	0
COG2315	Uncharacterized protein conserved in bacteria	0
COG1720	Uncharacterized conserved protein	0
COG5360	Uncharacterized protein conserved in bacteria	0
COG1723	Uncharacterized conserved protein	0
COG4695	Phage-related protein	0
COG4509	Uncharacterized protein conserved in bacteria	0
COG5361	Uncharacterized conserved protein	0
COG2259	Predicted membrane protein	0
COG2258	Uncharacterized protein conserved in bacteria	0
COG5085	Predicted membrane protein	0
COG5087	Uncharacterized conserved protein	0
COG3219	Uncharacterized protein conserved in bacteria	0
COG3025	Uncharacterized conserved protein	0
COG2250	Uncharacterized conserved protein related to C-terminal domain of eukaryotic chaperone, SACSIN	0
COG2253	Uncharacterized conserved protein	0
COG4885	Uncharacterized protein conserved in archaea	0
COG3212	Predicted membrane protein	0
COG4883	Uncharacterized protein conserved in archaea	0
COG2257	Uncharacterized homolog of the cytoplasmic domain of flagellar protein FhlB	0
COG3358	Uncharacterized conserved protein	0
COG3421	Uncharacterized protein conserved in bacteria	0
COG4339	Uncharacterized protein conserved in bacteria	0
COG2828	Uncharacterized protein conserved in bacteria	10
COG2469	Uncharacterized conserved protein	0
COG3274	Uncharacterized protein conserved in bacteria	0
COG3427	Uncharacterized conserved protein	0
COG4330	Predicted membrane protein	0
COG3428	Predicted membrane protein	0
COG4332	Uncharacterized protein conserved in bacteria	0
COG4333	Uncharacterized protein conserved in bacteria	0
COG4334	Uncharacterized protein conserved in bacteria	0
COG5093	Uncharacterized conserved protein	0
COG4336	Uncharacterized conserved protein	0
COG4337	Uncharacterized protein conserved in bacteria	0
COG5500	Predicted integral membrane protein	0
COG1809	Uncharacterized conserved protein	0
COG4200	Uncharacterized protein conserved in bacteria	0
COG1655	Uncharacterized protein conserved in bacteria	0
COG1656	Uncharacterized conserved protein	0
COG1650	Uncharacterized protein conserved in archaea	0
COG3528	Uncharacterized protein conserved in bacteria	0
COG1652	Uncharacterized protein containing LysM domain	0
COG3134	Predicted outer membrane lipoprotein	0
COG3139	Uncharacterized protein conserved in bacteria	0
COG5353	Uncharacterized protein conserved in bacteria	0
COG3036	Uncharacterized protein conserved in bacteria	0
COG1659	Uncharacterized protein, linocin/CFP29 homolog	0
COG3034	Uncharacterized protein conserved in bacteria	0
COG5254	Predicted membrane protein	0
COG5255	Uncharacterized protein conserved in bacteria	0
COG5559	Uncharacterized conserved small protein	0
COG2308	Uncharacterized conserved protein	1
COG4675	Microcystin-dependent protein	0
COG4754	Uncharacterized conserved protein	0
COG4676	Uncharacterized protein conserved in bacteria	0
COG4679	Phage-related protein	0
COG5552	Uncharacterized conserved protein	0
COG5383	Uncharacterized protein conserved in bacteria	0
COG4018	Uncharacterized protein conserved in archaea	0
COG5418	Predicted secreted protein	0
COG5556	Uncharacterized conserved protein	0
COG4024	Uncharacterized protein conserved in archaea	0
COG4021	Uncharacterized conserved protein	0
COG2914	Uncharacterized protein conserved in bacteria	0
COG4027	Uncharacterized protein conserved in archaea	0
COG2912	Uncharacterized conserved protein	0
COG1992	Uncharacterized conserved protein	0
COG1991	Uncharacterized conserved protein	0
COG1990	Uncharacterized conserved protein	0
COG1856	Uncharacterized homolog of biotin synthetase	0
COG2862	Predicted membrane protein	0
COG1852	Uncharacterized conserved protein	0
COG4029	Uncharacterized protein conserved in archaea	0
COG1851	Uncharacterized conserved protein	0
COG4891	Uncharacterized conserved protein	0
COG4372	Uncharacterized protein conserved in bacteria with the myosin-like domain	0
COG4890	Predicted outer membrane lipoprotein	0
COG5419	Uncharacterized conserved protein	0
COG0700	Uncharacterized membrane protein	0
COG5017	Uncharacterized conserved protein	0
COG5430	Uncharacterized secreted protein	0
COG5431	Uncharacterized metal-binding protein	0
COG5338	Uncharacterized protein conserved in bacteria	0
COG3689	Predicted membrane protein	0
COG5435	Uncharacterized conserved protein	0
COG5436	Predicted integral membrane protein	0
COG5437	Predicted secreted protein	0
COG3685	Uncharacterized protein conserved in bacteria	0
COG3205	Predicted membrane protein	0
COG3686	Predicted membrane protein	0
COG3681	Uncharacterized conserved protein	0
COG3680	Uncharacterized protein conserved in bacteria	0
COG5374	Uncharacterized conserved protein	0
COG4047	Uncharacterized protein conserved in archaea	0
COG3235	Predicted membrane protein	0
COG4897	Uncharacterized protein conserved in bacteria	0
COG5381	Uncharacterized protein conserved in bacteria	0
COG4872	Predicted membrane protein	0
COG4378	Uncharacterized protein conserved in bacteria	0
COG3045	Uncharacterized protein conserved in bacteria	0
COG4896	Uncharacterized protein conserved in bacteria	0
COG3041	Uncharacterized protein conserved in bacteria	0
COG5589	Uncharacterized conserved protein	0
COG3671	Predicted membrane protein	0
COG4743	Predicted membrane protein	0
COG4926	Phage-related protein	0
COG5331	Uncharacterized protein conserved in bacteria	0
COG4289	Uncharacterized protein conserved in bacteria	0
COG1578	Uncharacterized conserved protein	0
COG4727	Uncharacterized protein conserved in bacteria	0
COG4858	Uncharacterized membrane-bound protein conserved in bacteria	0
COG5291	Predicted membrane protein	0
COG4855	Uncharacterized protein conserved in archaea	0
COG4380	Uncharacterized protein conserved in bacteria	0
COG1572	Uncharacterized conserved protein	0
COG4850	Uncharacterized conserved protein	0
COG4853	Uncharacterized protein conserved in bacteria	0
COG2261	Predicted membrane protein	0
COG3819	Predicted membrane protein	0
COG3952	Predicted membrane protein	0
COG4244	Predicted membrane protein	0
COG5447	Uncharacterized conserved protein	0
COG4246	Uncharacterized protein conserved in bacteria	0
COG5439	Uncharacterized conserved protein	0
COG3811	Uncharacterized protein conserved in bacteria	0
COG3812	Uncharacterized protein conserved in bacteria	0
COG0799	Uncharacterized homolog of plant Iojap protein	1
COG3814	Uncharacterized protein conserved in bacteria	0
COG3815	Predicted membrane protein	0
COG3816	Uncharacterized protein conserved in bacteria	0
COG3817	Predicted membrane protein	0
COG3612	Uncharacterized protein conserved in archaea	0
COG4483	Uncharacterized protein conserved in bacteria	0
COG3610	Uncharacterized conserved protein	0
COG4481	Uncharacterized protein conserved in bacteria	0
COG5481	Uncharacterized conserved small protein containing a coiled-coil domain	0
COG4487	Uncharacterized protein conserved in bacteria	0
COG5483	Uncharacterized conserved protein	0
COG2120	Uncharacterized proteins, LmbE homologs	0
COG2170	Uncharacterized conserved protein	0
COG2078	Uncharacterized conserved protein	0
COG3592	Uncharacterized conserved protein	0
COG3595	Uncharacterized conserved protein	0
COG4286	Uncharacterized conserved protein related to MYG1 family	0
COG3597	Uncharacterized protein/domain associated with GTPases	0
COG0316	Uncharacterized conserved protein	0
COG5298	Uncharacterized protein conserved in bacteria	0
COG3881	Uncharacterized protein conserved in bacteria	0
COG3880	Uncharacterized protein with conserved CXXC pairs	0
COG5081	Predicted membrane protein	0
COG3885	Uncharacterized conserved protein	0
COG3410	Uncharacterized conserved protein	0
COG4412	Uncharacterized protein conserved in bacteria	0
COG4680	Uncharacterized protein conserved in bacteria	0
COG4312	Uncharacterized protein conserved in bacteria	0
COG1371	Uncharacterized conserved protein	0
COG4683	Uncharacterized protein conserved in bacteria	0
COG4684	Predicted membrane protein	0
COG1376	Uncharacterized protein conserved in bacteria	0
COG4687	Uncharacterized protein conserved in bacteria	0
COG3976	Uncharacterized protein conserved in bacteria	0
COG1273	Uncharacterized conserved protein	0
COG1379	Uncharacterized conserved protein	0
COG4893	Uncharacterized protein conserved in bacteria	0
COG4929	Uncharacterized membrane-anchored protein	0
COG3253	Uncharacterized conserved protein	0
COG3251	Uncharacterized protein conserved in bacteria	0
COG1888	Uncharacterized protein conserved in archaea	0
COG1920	Uncharacterized conserved protein	0
COG1885	Uncharacterized protein conserved in archaea	0
COG4316	Uncharacterized protein conserved in bacteria	0
COG4408	Uncharacterized protein conserved in bacteria	0
COG4922	Uncharacterized protein conserved in bacteria	0
COG4925	Uncharacterized conserved protein	0
COG2210	Uncharacterized conserved protein	0
COG5385	Uncharacterized protein conserved in bacteria	0
COG3374	Predicted membrane protein	0
COG3465	Uncharacterized conserved protein	0
COG3466	Putative transposon-encoded protein	0
COG3461	Uncharacterized conserved protein	0
COG3463	Predicted membrane protein	0
COG3462	Predicted membrane protein	0
COG4327	Predicted membrane protein	0
COG3310	Uncharacterized protein conserved in bacteria	0
COG3314	Uncharacterized protein conserved in bacteria	2
COG1470	Predicted membrane protein	0
COG3379	Uncharacterized conserved protein	0
COG3665	Uncharacterized conserved protein	1
COG1598	Uncharacterized conserved protein	2
COG3662	Uncharacterized protein conserved in bacteria	0
COG1478	Uncharacterized conserved protein	2
COG1479	Uncharacterized conserved protein	0
COG3502	Uncharacterized protein conserved in bacteria	0
COG3272	Uncharacterized conserved protein	0
COG5413	Uncharacterized integral membrane protein	0
COG3501	Uncharacterized protein conserved in bacteria	0
COG5530	Predicted integral membrane protein	0
COG4095	Uncharacterized conserved protein	0
COG4319	Ketosteroid isomerase homolog	0
COG2929	Uncharacterized protein conserved in bacteria	0
COG2928	Uncharacterized conserved protein	0
COG2926	Uncharacterized protein conserved in bacteria	0
COG5428	Uncharacterized conserved small protein	0
COG2922	Uncharacterized protein conserved in bacteria	0
COG2921	Uncharacterized conserved protein	0
COG4094	Predicted membrane protein	0
COG1751	Uncharacterized conserved protein	0
COG4493	Uncharacterized protein conserved in bacteria	0
COG2442	Uncharacterized conserved protein	0
COG4636	Uncharacterized protein conserved in cyanobacteria	0
COG1755	Uncharacterized protein conserved in bacteria	0
COG2445	Uncharacterized conserved protein	0
COG4633	Uncharacterized protein conserved in bacteria	0
COG1756	Uncharacterized conserved protein	0
COG2880	Uncharacterized protein conserved in archaea	0
COG2881	Uncharacterized protein conserved in archaea	0
COG5594	Uncharacterized integral membrane protein	0
COG3148	Uncharacterized conserved protein	0
COG1615	Uncharacterized conserved protein	0
COG2886	Uncharacterized small protein	0
COG1617	Uncharacterized conserved protein	0
COG2369	Uncharacterized protein, homolog of phage Mu protein gp30	0
COG3226	Uncharacterized protein conserved in bacteria	1
COG1810	Uncharacterized protein conserved in archaea	0
COG1590	Uncharacterized conserved protein	0
COG3223	Predicted membrane protein	0
COG1817	Uncharacterized protein conserved in archaea	0
COG1814	Uncharacterized membrane protein	1
COG3220	Uncharacterized protein conserved in bacteria	0
COG2361	Uncharacterized conserved protein	0
COG5634	Uncharacterized conserved protein	0
COG2363	Uncharacterized small membrane protein	0
COG5644	Uncharacterized conserved protein	0
COG2364	Predicted membrane protein	0
COG5216	Uncharacterized conserved protein	0
COG3228	Uncharacterized protein conserved in bacteria	0
COG1683	Uncharacterized conserved protein	0
COG4069	Uncharacterized protein conserved in archaea	0
COG2958	Uncharacterized protein conserved in bacteria	0
COG4342	Uncharacterized protein conserved in archaea	0
COG4345	Uncharacterized protein conserved in archaea	0
COG4344	Uncharacterized protein conserved in archaea	0
COG2815	Uncharacterized protein conserved in bacteria	0
COG2952	Uncharacterized protein conserved in bacteria	0
COG3520	Uncharacterized protein conserved in bacteria	0
COG1689	Uncharacterized protein conserved in archaea	0
COG4848	Uncharacterized protein conserved in bacteria	0
COG4065	Uncharacterized protein conserved in archaea	0
COG2954	Uncharacterized protein conserved in bacteria	0
COG3472	Uncharacterized conserved protein	0
COG2083	Uncharacterized protein conserved in archaea	0
COG4550	Predicted membrane protein	0
COG4837	Uncharacterized protein conserved in bacteria	0
COG5230	Uncharacterized conserved protein	0
COG4704	Uncharacterized protein conserved in bacteria	0
COG5515	Uncharacterized conserved small protein	0
COG5345	Uncharacterized protein conserved in bacteria	0
COG3002	Uncharacterized protein conserved in bacteria	0
COG3768	Predicted membrane protein	0
COG4737	Uncharacterized protein conserved in bacteria	0
COG3007	Uncharacterized paraquat-inducible protein B	0
COG5505	Predicted integral membrane protein	0
COG5607	Uncharacterized conserved protein	0
COG3762	Predicted membrane protein	0
COG3763	Uncharacterized protein conserved in bacteria	0
COG3009	Uncharacterized protein conserved in bacteria	0
COG3766	Predicted membrane protein	0
COG3767	Uncharacterized low-complexity protein	0
COG4395	Uncharacterized protein conserved in bacteria	0
COG4701	Uncharacterized protein conserved in bacteria	0
COG1295	Predicted membrane protein	1
COG4703	Uncharacterized protein conserved in bacteria	0
COG1297	Predicted membrane protein	2
COG4705	Uncharacterized membrane-anchored protein conserved in bacteria	0
COG3169	Uncharacterized protein conserved in bacteria	0
COG4707	Uncharacterized protein conserved in bacteria	0
COG5503	Uncharacterized conserved small protein	0
COG3164	Predicted membrane protein	0
COG3165	Uncharacterized protein conserved in bacteria	0
COG5197	Predicted membrane protein	0
COG5508	Uncharacterized conserved small protein	0
COG5423	Predicted metal-binding protein	0
COG3162	Predicted membrane protein	0
COG5484	Uncharacterized conserved protein	0
COG4115	Uncharacterized protein conserved in bacteria	1
COG1865	Uncharacterized conserved protein	0
COG4702	Uncharacterized conserved protein	0
COG5606	Uncharacterized conserved small protein	0
COG1860	Uncharacterized protein conserved in archaea	0
COG5660	Predicted integral membrane protein	0
COG5521	Predicted integral membrane protein	0
COG4840	Uncharacterized protein conserved in bacteria	0
COG3915	Uncharacterized protein conserved in bacteria	0
COG5139	Uncharacterized conserved protein	0
COG3140	Uncharacterized protein conserved in bacteria	0
COG3913	Uncharacterized protein conserved in bacteria	0
COG0327	Uncharacterized conserved protein	0
COG5134	Uncharacterized conserved protein	0
COG5495	Uncharacterized conserved protein	0
COG5343	Uncharacterized protein conserved in bacteria	0
COG3918	Predicted membrane protein	0
COG5133	Uncharacterized conserved protein	0
COG0759	Uncharacterized conserved protein	4
COG2035	Predicted membrane protein	0
COG2034	Predicted membrane protein	0
COG5605	Predicted small integral membrane protein	3
COG4529	Uncharacterized protein conserved in bacteria	0
COG3171	Uncharacterized protein conserved in bacteria	0
COG3868	Uncharacterized conserved protein	0
COG4859	Uncharacterized protein conserved in bacteria	0
COG5075	Uncharacterized conserved protein	0
COG5449	Uncharacterized conserved protein	0
COG5448	Uncharacterized conserved protein	0
COG5441	Uncharacterized conserved protein	0
COG5440	Uncharacterized conserved protein	0
COG3714	Predicted membrane protein	0
COG5445	Predicted secreted protein	0
COG5444	Uncharacterized conserved protein	0
COG4274	Uncharacterized conserved protein	0
COG5446	Predicted integral membrane protein	0
COG3098	Uncharacterized protein conserved in bacteria	0
COG3099	Uncharacterized protein conserved in bacteria	0
COG0217	Uncharacterized conserved protein	6
COG2990	Uncharacterized protein conserved in bacteria	0
COG4854	Predicted membrane protein	0
COG3091	Uncharacterized protein conserved in bacteria	0
COG3092	Uncharacterized protein conserved in bacteria	0
COG3022	Uncharacterized protein conserved in bacteria	5
COG3094	Uncharacterized protein conserved in bacteria	0
COG5336	Uncharacterized protein conserved in bacteria	0
COG3097	Uncharacterized protein conserved in bacteria	0
COG3296	Uncharacterized protein conserved in bacteria	0
COG4398	Uncharacterized protein conserved in bacteria	0
COG3294	Uncharacterized conserved protein	0
COG3295	Uncharacterized protein conserved in bacteria	0
COG4803	Predicted membrane protein	0
COG4297	Uncharacterized protein containing double-stranded beta helix domain	0
COG4377	Predicted membrane protein	0
COG3673	Uncharacterized conserved protein	0
COG4808	Uncharacterized protein conserved in bacteria	0
COG3299	Uncharacterized homolog of phage Mu protein gp47	0
COG3861	Uncharacterized protein conserved in bacteria	0
COG3860	Uncharacterized protein conserved in bacteria	0
COG3863	Uncharacterized distant relative of cell wall-associated hydrolases	0
COG3862	Uncharacterized protein with conserved CXXC pairs	0
COG3865	Uncharacterized protein conserved in bacteria	0
COG3864	Uncharacterized protein conserved in bacteria	0
COG4582	Uncharacterized protein conserved in bacteria	0
COG1963	Uncharacterized protein conserved in bacteria	0
COG1576	Uncharacterized conserved protein	0
COG5616	Predicted integral membrane protein	1
COG1967	Predicted membrane protein	0
COG5619	Uncharacterized conserved protein	0
COG3542	Uncharacterized conserved protein	0
COG3543	Uncharacterized conserved protein	0
COG2105	Uncharacterized conserved protein	0
COG4642	Uncharacterized protein conserved in bacteria	0
COG3544	Uncharacterized protein conserved in bacteria	0
COG2106	Uncharacterized conserved protein	0
COG5615	Predicted integral membrane protein	0
COG3548	Predicted integral membrane protein	0
COG5471	Uncharacterized conserved protein	0
COG5612	Predicted integral membrane protein	0
COG5613	Uncharacterized conserved protein	0
COG3112	Uncharacterized protein conserved in bacteria	0
COG3785	Uncharacterized conserved protein	0
COG3786	Uncharacterized protein conserved in bacteria	0
COG2717	Predicted membrane protein	0
COG3781	Predicted membrane protein	0
COG3782	Uncharacterized protein conserved in bacteria	0
COG1531	Uncharacterized protein conserved in archaea	0
COG2719	Uncharacterized conserved protein	0
COG5570	Uncharacterized small protein	0
COG4913	Uncharacterized protein conserved in bacteria	0
COG1714	Predicted membrane protein/domain	0
COG5455	Predicted integral membrane protein	0
COG4020	Uncharacterized protein conserved in archaea	0
COG1711	Uncharacterized protein conserved in archaea	0
COG2849	Uncharacterized protein conserved in bacteria	0
COG5543	Uncharacterized conserved protein	0
COG2845	Uncharacterized protein conserved in bacteria	0
COG2847	Uncharacterized protein conserved in bacteria	0
COG2840	Uncharacterized protein conserved in bacteria	0
COG2841	Uncharacterized protein conserved in bacteria	0
COG4649	Uncharacterized protein conserved in bacteria	0
COG2246	Predicted membrane protein	0
COG5317	Uncharacterized protein conserved in bacteria	0
COG2245	Predicted membrane protein	0
COG4765	Uncharacterized protein conserved in bacteria	0
COG4331	Predicted membrane protein	0
COG1496	Uncharacterized conserved protein	8
COG2324	Predicted membrane protein	0
COG2327	Uncharacterized conserved protein	0
COG2326	Uncharacterized conserved protein	5
COG5319	Uncharacterized protein conserved in bacteria	0
COG2320	Uncharacterized conserved protein	0
COG1322	Uncharacterized protein conserved in bacteria	0
COG2322	Predicted membrane protein	3
COG4276	Uncharacterized conserved protein	0
COG3784	Uncharacterized protein conserved in bacteria	0
COG3346	Uncharacterized conserved protein	0
COG3268	Uncharacterized conserved protein	1
COG4301	Uncharacterized conserved protein	0
COG3342	Uncharacterized conserved protein	2
COG4036	Predicted membrane protein	0
COG1917	Uncharacterized conserved protein, contains double-stranded beta-helix domain	0
COG1916	Uncharacterized homolog of PrgY (pheromone shutdown protein)	0
COG1915	Uncharacterized conserved protein	0
COG4309	Uncharacterized conserved protein	0
COG1912	Uncharacterized conserved protein	0
COG3110	Uncharacterized protein conserved in bacteria	0
COG3536	Uncharacterized protein conserved in bacteria	0
COG3535	Uncharacterized conserved protein	0
COG3787	Uncharacterized protein conserved in bacteria	0
COG3533	Uncharacterized protein conserved in bacteria	0
COG4259	Uncharacterized protein conserved in bacteria	0
COG4446	Uncharacterized protein conserved in bacteria	0
COG3439	Uncharacterized conserved protein	0
COG1671	Uncharacterized protein conserved in bacteria	2
COG3430	Uncharacterized protein conserved in archaea	0
COG3431	Predicted membrane protein	0
COG4995	Uncharacterized protein conserved in bacteria	0
COG5568	Uncharacterized small protein	0
COG5420	Uncharacterized conserved small protein containing a coiled-coil domain	0
COG3120	Uncharacterized protein conserved in bacteria	0
COG4744	Uncharacterized conserved protein	0
COG3122	Uncharacterized protein conserved in bacteria	0
COG3123	Uncharacterized protein conserved in bacteria	0
COG1665	Uncharacterized protein conserved in archaea	0
COG1667	Uncharacterized protein conserved in archaea	0
COG1666	Uncharacterized protein conserved in bacteria	1
COG3128	Uncharacterized iron-regulated protein	0
COG5373	Predicted membrane protein	0
COG5561	Predicted metal-binding protein	0
COG4749	Uncharacterized protein conserved in archaea	0
COG4748	Uncharacterized conserved protein	0
COG4370	Uncharacterized protein conserved in bacteria	0
COG5480	Predicted integral membrane protein	0
COG5548	Small integral membrane protein	0
COG4984	Predicted membrane protein	0
COG4983	Uncharacterized conserved protein	0
COG5267	Uncharacterized protein conserved in bacteria	0
COG2431	Predicted membrane protein	0
COG2430	Uncharacterized conserved protein	0
COG2433	Uncharacterized conserved protein	0
COG4485	Predicted membrane protein	0
COG5546	Small integral membrane protein	0
COG3789	Uncharacterized protein conserved in bacteria	0
COG4010	Uncharacterized protein conserved in archaea	0
COG1986	Uncharacterized conserved protein	0
COG2960	Uncharacterized protein conserved in bacteria	0
COG1981	Predicted membrane protein	9
COG4017	Uncharacterized protein conserved in archaea	0
COG2964	Uncharacterized protein conserved in bacteria	0
COG4019	Uncharacterized protein conserved in archaea	0
COG1822	Predicted archaeal membrane protein	0
COG2968	Uncharacterized conserved protein	0
COG4758	Predicted membrane protein	0
COG5547	Small integral membrane protein	0
COG0718	Uncharacterized protein conserved in bacteria	1
COG3619	Predicted membrane protein	0
COG4847	Uncharacterized protein conserved in archaea	0
COG5489	Uncharacterized conserved protein	0
COG5586	Uncharacterized conserved protein	0
COG4625	Uncharacterized protein with a C-terminal OMP (outer membrane protein) domain	0
COG5488	Integral membrane protein	0
COG3753	Uncharacterized protein conserved in bacteria	0
COG3752	Predicted membrane protein	0
COG3698	Predicted periplasmic protein	0
COG3750	Uncharacterized protein conserved in bacteria	0
COG3756	Uncharacterized protein conserved in bacteria	0
COG3755	Uncharacterized protein conserved in bacteria	0
COG4519	Uncharacterized protein conserved in bacteria	0
COG3692	Uncharacterized protein conserved in bacteria	0
COG2848	Uncharacterized conserved protein	0
COG3759	Predicted membrane protein	0
COG3691	Uncharacterized protein conserved in bacteria	0
COG5652	Predicted integral membrane protein	0
COG5400	Uncharacterized protein conserved in bacteria	0
COG5403	Uncharacterized conserved protein	0
COG1710	Uncharacterized protein conserved in archaea	0
COG3195	Uncharacterized protein conserved in bacteria	0
COG3883	Uncharacterized protein conserved in bacteria	0
COG4849	Uncharacterized protein conserved in bacteria	0
COG3196	Uncharacterized protein conserved in bacteria	0
COG2501	Uncharacterized conserved protein	0
COG3059	Predicted membrane protein	0
COG3055	Uncharacterized protein conserved in bacteria	0
COG3199	Uncharacterized conserved protein	0
COG3198	Uncharacterized protein conserved in bacteria	0
COG4752	Uncharacterized protein conserved in bacteria	0
COG3602	Uncharacterized protein conserved in bacteria	0
COG5397	Uncharacterized conserved protein	0
COG4856	Uncharacterized protein conserved in bacteria	0
COG3825	Uncharacterized protein conserved in bacteria	0
COG3824	Uncharacterized protein conserved in bacteria	0
COG3391	Uncharacterized conserved protein	4
COG3390	Uncharacterized protein conserved in archaea	0
COG3397	Uncharacterized protein conserved in bacteria	0
COG3396	Uncharacterized conserved protein	0
COG3395	Uncharacterized protein conserved in bacteria	0
COG0401	Uncharacterized homolog of Blt101	0
COG4842	Uncharacterized protein conserved in bacteria	0
COG4843	Uncharacterized protein conserved in bacteria	0
COG3399	Uncharacterized protein conserved in bacteria	0
COG3398	Uncharacterized protein conserved in archaea	0
COG4807	Uncharacterized protein conserved in bacteria	0
COG3236	Uncharacterized protein conserved in bacteria	0
COG4844	Uncharacterized protein conserved in bacteria	0
COG5507	Uncharacterized conserved protein	0
COG3586	Uncharacterized conserved protein	0
COG3584	Uncharacterized protein conserved in bacteria	0
COG4575	Uncharacterized conserved protein	0
COG4279	Uncharacterized conserved protein	0
COG3583	Uncharacterized protein conserved in bacteria	0
COG3580	Uncharacterized protein conserved in bacteria	0
COG3581	Uncharacterized protein conserved in bacteria	0
COG4275	Uncharacterized conserved protein	0
COG4198	Uncharacterized conserved protein	1
COG3945	Uncharacterized conserved protein	0
COG2149	Predicted membrane protein	0
COG0762	Predicted integral membrane protein	0
COG4273	Uncharacterized conserved protein	0
COG3589	Uncharacterized conserved protein	0
COG4420	Predicted membrane protein	0
COG5490	Uncharacterized conserved protein	0
COG4317	Uncharacterized protein conserved in bacteria	0
COG5497	Predicted secreted protein	0
COG4479	Uncharacterized protein conserved in bacteria	0
COG4478	Predicted membrane protein	0
COG4476	Uncharacterized protein conserved in bacteria	0
COG4475	Uncharacterized protein conserved in bacteria	0
COG4474	Uncharacterized protein conserved in bacteria	0
COG4443	Uncharacterized protein conserved in bacteria	0
COG4472	Uncharacterized protein conserved in bacteria	0
COG4471	Uncharacterized protein conserved in bacteria	0
COG4470	Uncharacterized protein conserved in bacteria	0
COG5346	Predicted membrane protein	0
COG3892	Uncharacterized protein conserved in bacteria	5
COG5316	Uncharacterized conserved protein	0
COG4804	Uncharacterized conserved protein	0
COG5475	Uncharacterized small protein	0
COG3898	Uncharacterized membrane-bound protein	0
COG4093	Uncharacterized protein conserved in bacteria	0
